Program,Program Desc,College,College Desc,Level,Level Desc,Department,Department Desc,Degree,Degree Desc,Major,Major Desc,Campus,Campus Desc,Major CIP,Major CIP Desc,Combined Ind,Concentration,Concentration Desc,Eff Term,Eff Term Desc,Admission Ind,Student Ind,Outcome Ind,Eff Status,Program Status
P-EDD-EDUC,EdD Education (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,EDD,Doctor of Education,EDUC,Education,BOS,Boston,130101,Educ,,ITGS,Integrative Studies,202315,Fall 2022 CPS Quarter,Y,Y,Y,Current,Active
P-EDD-EDUC,EdD Education (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,EDD,Doctor of Education,EDUC,Education,BOS,Boston,130101,Educ,,ITLR,Innovative Teaching & Learning,202315,Fall 2022 CPS Quarter,Y,Y,Y,Current,Active
P-EDD-EDUC,EdD Education (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,EDD,Doctor of Education,EDUC,Education,BOS,Boston,130101,Educ,,TSLD,Transformative School Ldrship,202315,Fall 2022 CPS Quarter,Y,Y,Y,Current,Active
P-EDD-EDUC,EdD Education (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,EDD,Doctor of Education,EDUC,Education,BOS,Boston,130101,Educ,,WPLR,Workplace Learning,202315,Fall 2022 CPS Quarter,Y,Y,Y,Current,Active
P-EDD-EDUC,EdD Education (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,EDD,Doctor of Education,EDUC,Education,CHL,"Charlotte, NC",130101,Educ,,HEDA,Higher Education Admin,202315,Fall 2022 CPS Quarter,Y,Y,Y,Current,Active
P-EDD-EDUC,EdD Education (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,EDD,Doctor of Education,EDUC,Education,CHL,"Charlotte, NC",130101,Educ,,ITGS,Integrative Studies,202315,Fall 2022 CPS Quarter,Y,Y,Y,Current,Active
P-EDD-EDUC,EdD Education (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,EDD,Doctor of Education,EDUC,Education,CHL,"Charlotte, NC",130101,Educ,,ITLR,Innovative Teaching & Learning,202315,Fall 2022 CPS Quarter,Y,Y,Y,Current,Active
P-EDD-EDUC,EdD Education (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,EDD,Doctor of Education,EDUC,Education,CHL,"Charlotte, NC",130101,Educ,,TSLD,Transformative School Ldrship,202315,Fall 2022 CPS Quarter,Y,Y,Y,Current,Active
P-EDD-EDUC,EdD Education (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,EDD,Doctor of Education,EDUC,Education,CHL,"Charlotte, NC",130101,Educ,,WPLR,Workplace Learning,202315,Fall 2022 CPS Quarter,Y,Y,Y,Current,Active
P-EDD-EDUC,EdD Education (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,EDD,Doctor of Education,EDUC,Education,OAK,"Oakland, CA",130101,Educ,,HEDA,Higher Education Admin,202315,Fall 2022 CPS Quarter,Y,Y,Y,Current,Active
P-EDD-EDUC,EdD Education (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,EDD,Doctor of Education,EDUC,Education,OAK,"Oakland, CA",130101,Educ,,ITGS,Integrative Studies,202315,Fall 2022 CPS Quarter,Y,Y,Y,Current,Active
P-EDD-EDUC,EdD Education (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,EDD,Doctor of Education,EDUC,Education,OAK,"Oakland, CA",130101,Educ,,ITLR,Innovative Teaching & Learning,202315,Fall 2022 CPS Quarter,Y,Y,Y,Current,Active
P-EDD-EDUC,EdD Education (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,EDD,Doctor of Education,EDUC,Education,OAK,"Oakland, CA",130101,Educ,,NOCC,No Concentration,202315,Fall 2022 CPS Quarter,Y,Y,N,Current,Active
P-EDD-EDUC,EdD Education (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,EDD,Doctor of Education,EDUC,Education,OAK,"Oakland, CA",130101,Educ,,TSLD,Transformative School Ldrship,202315,Fall 2022 CPS Quarter,Y,Y,Y,Current,Active
P-EDD-EDUC,EdD Education (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,EDD,Doctor of Education,EDUC,Education,OAK,"Oakland, CA",130101,Educ,,WPLR,Workplace Learning,202315,Fall 2022 CPS Quarter,Y,Y,Y,Current,Active
P-EDD-EDUC,EdD Education (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,EDD,Doctor of Education,EDUC,Education,SEA,"Seattle, WA",130101,Educ,,HEDA,Higher Education Admin,202315,Fall 2022 CPS Quarter,Y,Y,Y,Current,Active
P-EDD-EDUC,EdD Education (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,EDD,Doctor of Education,EDUC,Education,SFR,"San Francisco, CA",130101,Educ,,HEDA,Higher Education Admin,202215,Fall 2021 CPS Quarter,Y,Y,Y,Current,Active
P-EDD-EDUC,EdD Education (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,EDD,Doctor of Education,EDUC,Education,SFR,"San Francisco, CA",130101,Educ,,ITGS,Integrative Studies,202215,Fall 2021 CPS Quarter,Y,Y,Y,Current,Active
P-EDD-EDUC,EdD Education (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,EDD,Doctor of Education,EDUC,Education,SFR,"San Francisco, CA",130101,Educ,,ITLR,Innovative Teaching & Learning,202215,Fall 2021 CPS Quarter,Y,Y,Y,Current,Active
P-EDD-EDUC,EdD Education (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,EDD,Doctor of Education,EDUC,Education,SFR,"San Francisco, CA",130101,Educ,,TSLD,Transformative School Ldrship,202215,Fall 2021 CPS Quarter,Y,Y,Y,Current,Active
P-EDD-EDUC,EdD Education (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,EDD,Doctor of Education,EDUC,Education,SFR,"San Francisco, CA",130101,Educ,,WPLR,Workplace Learning,202215,Fall 2021 CPS Quarter,Y,Y,Y,Current,Active
P-EDD-EDUC,EdD Education (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,EDD,Doctor of Education,EDUC,Education,SJO,"Silicon Valley, CA",130101,Educ,,HEDA,Higher Education Admin,202215,Fall 2021 CPS Quarter,Y,Y,Y,Current,Active
P-EDD-EDUC,EdD Education (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,EDD,Doctor of Education,EDUC,Education,SJO,"Silicon Valley, CA",130101,Educ,,ITGS,Integrative Studies,202215,Fall 2021 CPS Quarter,Y,Y,Y,Current,Active
P-EDD-EDUC,EdD Education (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,EDD,Doctor of Education,EDUC,Education,SJO,"Silicon Valley, CA",130101,Educ,,ITLR,Innovative Teaching & Learning,202215,Fall 2021 CPS Quarter,Y,Y,Y,Current,Active
P-EDD-EDUC,EdD Education (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,EDD,Doctor of Education,EDUC,Education,SJO,"Silicon Valley, CA",130101,Educ,,TSLD,Transformative School Ldrship,202215,Fall 2021 CPS Quarter,Y,Y,Y,Current,Active
P-EDD-EDUC,EdD Education (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,EDD,Doctor of Education,EDUC,Education,SJO,"Silicon Valley, CA",130101,Educ,,WPLR,Workplace Learning,202215,Fall 2021 CPS Quarter,Y,Y,Y,Current,Active
P-MA-HOSE,MA Homeland Security (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MA,Master of Arts,HOSE,Homeland Security,BOS,Boston,430301,Homeland Security,,EMMG,Emergency Management,201915,Fall 2018 CPS Quarter,Y,Y,Y,Current,Active
P-MA-HOSE,MA Homeland Security (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MA,Master of Arts,HOSE,Homeland Security,BOS,Boston,430301,Homeland Security,,GSPS,Geospatial Services,201915,Fall 2018 CPS Quarter,Y,Y,Y,Current,Active
P-MA-HOSE,MA Homeland Security (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MA,Master of Arts,HOSE,Homeland Security,BOS,Boston,430301,Homeland Security,,NOCC,No Concentration,201915,Fall 2018 CPS Quarter,Y,Y,Y,Current,Active
P-MA-HOSE,MA Homeland Security (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MA,Master of Arts,HOSE,Homeland Security,BOS,Boston,430301,Homeland Security,,ORIC,Organization & Infrastruc Cont,201915,Fall 2018 CPS Quarter,Y,Y,Y,Current,Active
P-MA-HOSE,MA Homeland Security (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MA,Master of Arts,HOSE,Homeland Security,BOS,Boston,430301,Homeland Security,,PTSC,Port Security,201915,Fall 2018 CPS Quarter,Y,Y,Y,Current,Active
P-MA-HOSE,MA Homeland Security (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MA,Master of Arts,HOSE,Homeland Security,CHL,"Charlotte, NC",430301,Homeland Security,,EMMG,Emergency Management,201915,Fall 2018 CPS Quarter,Y,Y,Y,Current,Active
P-MA-HOSE,MA Homeland Security (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MA,Master of Arts,HOSE,Homeland Security,CHL,"Charlotte, NC",430301,Homeland Security,,GSPS,Geospatial Services,201915,Fall 2018 CPS Quarter,Y,Y,Y,Current,Active
P-MA-HOSE,MA Homeland Security (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MA,Master of Arts,HOSE,Homeland Security,CHL,"Charlotte, NC",430301,Homeland Security,,NOCC,No Concentration,201915,Fall 2018 CPS Quarter,Y,Y,Y,Current,Active
P-MA-HOSE,MA Homeland Security (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MA,Master of Arts,HOSE,Homeland Security,CHL,"Charlotte, NC",430301,Homeland Security,,ORIC,Organization & Infrastruc Cont,201915,Fall 2018 CPS Quarter,Y,Y,Y,Current,Active
P-MA-HOSE,MA Homeland Security (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MA,Master of Arts,HOSE,Homeland Security,CHL,"Charlotte, NC",430301,Homeland Security,,PTSC,Port Security,201915,Fall 2018 CPS Quarter,Y,Y,Y,Current,Active
P-MA-HOSE,MA Homeland Security (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MA,Master of Arts,HOSE,Homeland Security,SFR,"San Francisco, CA",430301,Homeland Security,,EGIT,Emergency Mgmt & Geo Info Tech,201915,Fall 2018 CPS Quarter,Y,Y,Y,Current,Active
P-MA-HOSE,MA Homeland Security (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MA,Master of Arts,HOSE,Homeland Security,SFR,"San Francisco, CA",430301,Homeland Security,,GSPS,Geospatial Services,201915,Fall 2018 CPS Quarter,Y,Y,Y,Current,Active
P-MA-HOSE,MA Homeland Security (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MA,Master of Arts,HOSE,Homeland Security,SFR,"San Francisco, CA",430301,Homeland Security,,NOCC,No Concentration,201915,Fall 2018 CPS Quarter,Y,Y,Y,Current,Active
P-MA-HOSE,MA Homeland Security (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MA,Master of Arts,HOSE,Homeland Security,SFR,"San Francisco, CA",430301,Homeland Security,,ORIC,Organization & Infrastruc Cont,201915,Fall 2018 CPS Quarter,Y,Y,Y,Current,Active
P-MA-HOSE,MA Homeland Security (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MA,Master of Arts,HOSE,Homeland Security,SFR,"San Francisco, CA",430301,Homeland Security,,PTSC,Port Security,201915,Fall 2018 CPS Quarter,Y,Y,Y,Current,Active
P-MA-HOSE,MA Homeland Security (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MA,Master of Arts,HOSE,Homeland Security,SJO,"Silicon Valley, CA",430301,Homeland Security,,EMMG,Emergency Management,201915,Fall 2018 CPS Quarter,Y,Y,Y,Current,Active
P-MA-HOSE,MA Homeland Security (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MA,Master of Arts,HOSE,Homeland Security,SJO,"Silicon Valley, CA",430301,Homeland Security,,GSPS,Geospatial Services,201915,Fall 2018 CPS Quarter,Y,Y,Y,Current,Active
P-MA-HOSE,MA Homeland Security (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MA,Master of Arts,HOSE,Homeland Security,SJO,"Silicon Valley, CA",430301,Homeland Security,,NOCC,No Concentration,201915,Fall 2018 CPS Quarter,Y,Y,Y,Current,Active
P-MA-HOSE,MA Homeland Security (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MA,Master of Arts,HOSE,Homeland Security,SJO,"Silicon Valley, CA",430301,Homeland Security,,ORIC,Organization & Infrastruc Cont,201915,Fall 2018 CPS Quarter,Y,Y,Y,Current,Active
P-MA-HOSE,MA Homeland Security (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MA,Master of Arts,HOSE,Homeland Security,SJO,"Silicon Valley, CA",430301,Homeland Security,,PTSC,Port Security,201915,Fall 2018 CPS Quarter,Y,Y,Y,Current,Active
P-MA-SCIS,MA Security & Intelligence Stu,PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MA,Master of Arts,SCIS,Security and Intelligence Stud,BOS,Boston,430399,"Homeland Security, Other",,COSM,Corporate Security Management,202315,Fall 2022 CPS Quarter,N,Y,Y,Current,Active
P-MA-SCIS,MA Security & Intelligence Stu,PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MA,Master of Arts,SCIS,Security and Intelligence Stud,BOS,Boston,430399,"Homeland Security, Other",,HSEM,Homeland Security & Emerg Mgmt,202315,Fall 2022 CPS Quarter,N,Y,Y,Current,Active
P-MA-SCIS,MA Security & Intelligence Stu,PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MA,Master of Arts,SCIS,Security and Intelligence Stud,BOS,Boston,430399,"Homeland Security, Other",,NOCC,No Concentration,202315,Fall 2022 CPS Quarter,Y,Y,Y,Current,Active
P-MA-SCIS,MA Security & Intelligence Stu,PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MA,Master of Arts,SCIS,Security and Intelligence Stud,BOS,Boston,430399,"Homeland Security, Other",,STIA,Strategic Intel & Analysis,202315,Fall 2022 CPS Quarter,N,Y,Y,Current,Active
P-MA-STIA,MA Strategic Intel & Analysis,PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MA,Master of Arts,STIA,Strategic Intel & Analysis,BOS,Boston,430399,"Homeland Security, Other",,AHOS,Analysis for Homeland Security,201735,Spring 2017 CPS Quarter,Y,Y,Y,Current,Active
P-MA-STIA,MA Strategic Intel & Analysis,PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MA,Master of Arts,STIA,Strategic Intel & Analysis,BOS,Boston,430399,"Homeland Security, Other",,ICOA,Intel Community Ops & Analysis,201735,Spring 2017 CPS Quarter,Y,Y,Y,Current,Active
P-MA-STIA,MA Strategic Intel & Analysis,PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MA,Master of Arts,STIA,Strategic Intel & Analysis,BOS,Boston,430399,"Homeland Security, Other",,NOCC,No Concentration,201735,Spring 2017 CPS Quarter,Y,Y,Y,Current,Active
P-MA-STIA,MA Strategic Intel & Analysis,PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MA,Master of Arts,STIA,Strategic Intel & Analysis,BOS,Boston,430399,"Homeland Security, Other",,RESE,Remote Sensing,201735,Spring 2017 CPS Quarter,Y,Y,Y,Current,Active
P-MAT-ELED,MAT Elementary Education (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MAT,Master of Arts in Teaching,ELED,Elementary Education,BOS,Boston,131202,Elementary Educ & Teach,,,,000000,The Beginning of Time,Y,Y,Y,Current,Active
P-MAT-SCED,MAT Secondary Education (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MAT,Master of Arts in Teaching,SCED,Secondary Education,BOS,Boston,131205,Secondary Educ & Teach,,,,000000,The Beginning of Time,Y,Y,Y,Current,Active
P-MED-EDUC,MED Education (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MED,Master of Education,EDUC,Education,BOS,Boston,130101,Educ,,LRIN,Learning and Instruction,202315,Fall 2022 CPS Quarter,Y,Y,Y,Current,Active
P-MED-EDUC,MED Education (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MED,Master of Education,EDUC,Education,BOS,Boston,130101,Educ,,SPED,Special Education,202315,Fall 2022 CPS Quarter,Y,Y,Y,Current,Active
P-MED-EDUC,MED Education (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MED,Master of Education,EDUC,Education,CHL,"Charlotte, NC",130101,Educ,,LRIN,Learning and Instruction,202315,Fall 2022 CPS Quarter,Y,Y,Y,Current,Active
P-MED-EDUC,MED Education (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MED,Master of Education,EDUC,Education,CHL,"Charlotte, NC",130101,Educ,,SPED,Special Education,202315,Fall 2022 CPS Quarter,Y,Y,Y,Current,Active
P-MED-EDUC,MED Education (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MED,Master of Education,EDUC,Education,SEA,"Seattle, WA",130101,Educ,,LRIN,Learning and Instruction,202315,Fall 2022 CPS Quarter,Y,Y,Y,Current,Active
P-MED-EDUC,MED Education (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MED,Master of Education,EDUC,Education,SEA,"Seattle, WA",130101,Educ,,SPED,Special Education,202315,Fall 2022 CPS Quarter,Y,Y,Y,Current,Active
P-MED-EDUC,MED Education (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MED,Master of Education,EDUC,Education,SFR,"San Francisco, CA",130101,Educ,,LRIN,Learning and Instruction,202315,Fall 2022 CPS Quarter,Y,Y,Y,Current,Active
P-MED-EDUC,MED Education (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MED,Master of Education,EDUC,Education,SFR,"San Francisco, CA",130101,Educ,,SPED,Special Education,202315,Fall 2022 CPS Quarter,Y,Y,Y,Current,Active
P-MED-EDUC,MED Education (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MED,Master of Education,EDUC,Education,SJO,"Silicon Valley, CA",130101,Educ,,LRIN,Learning and Instruction,202315,Fall 2022 CPS Quarter,Y,Y,Y,Current,Active
P-MED-EDUC,MED Education (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MED,Master of Education,EDUC,Education,SJO,"Silicon Valley, CA",130101,Educ,,SPED,Special Education,202315,Fall 2022 CPS Quarter,Y,Y,Y,Current,Active
P-MED-HEDA,MED Higher Education Adm (CPS),PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MED,Master of Education,HEDA,Higher Education Admin,BOS,Boston,130406,Higher Educ/Higher Educ Admin,,,,202015,Fall 2019 CPS Quarter,Y,Y,Y,Current,Active
P-MPS-ANLY,MPS Analytics,PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MPS,Master of Professional Studies,ANLY,Analytics,BOS,Boston,110802,Data Modeling/Warehousing DBA,,APMI,Applied Machine Intelligence,202115,Fall 2020 CPS Quarter,Y,Y,Y,Current,Active
P-MPS-ANLY,MPS Analytics,PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MPS,Master of Professional Studies,ANLY,Analytics,BOS,Boston,110802,Data Modeling/Warehousing DBA,,EBMG,Evidence Based Management,202115,Fall 2020 CPS Quarter,Y,Y,Y,Current,Active
P-MPS-ANLY,MPS Analytics,PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MPS,Master of Professional Studies,ANLY,Analytics,BOS,Boston,110802,Data Modeling/Warehousing DBA,,NOCC,No Concentration,202115,Fall 2020 CPS Quarter,Y,Y,Y,Current,Active
P-MPS-ANLY,MPS Analytics,PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MPS,Master of Professional Studies,ANLY,Analytics,BOS,Boston,110802,Data Modeling/Warehousing DBA,,STMO,Statistical Modeling,202115,Fall 2020 CPS Quarter,Y,Y,Y,Current,Active
P-MPS-ANLY,MPS Analytics,PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MPS,Master of Professional Studies,ANLY,Analytics,CHL,"Charlotte, NC",110802,Data Modeling/Warehousing DBA,,APMI,Applied Machine Intelligence,202115,Fall 2020 CPS Quarter,Y,Y,Y,Current,Active
P-MPS-ANLY,MPS Analytics,PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MPS,Master of Professional Studies,ANLY,Analytics,CHL,"Charlotte, NC",110802,Data Modeling/Warehousing DBA,,EBMG,Evidence Based Management,202115,Fall 2020 CPS Quarter,Y,Y,Y,Current,Active
P-MPS-ANLY,MPS Analytics,PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MPS,Master of Professional Studies,ANLY,Analytics,CHL,"Charlotte, NC",110802,Data Modeling/Warehousing DBA,,NOCC,No Concentration,202115,Fall 2020 CPS Quarter,Y,Y,Y,Current,Active
P-MPS-ANLY,MPS Analytics,PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MPS,Master of Professional Studies,ANLY,Analytics,CHL,"Charlotte, NC",110802,Data Modeling/Warehousing DBA,,STMO,Statistical Modeling,202115,Fall 2020 CPS Quarter,Y,Y,Y,Current,Active
P-MPS-ANLY,MPS Analytics,PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MPS,Master of Professional Studies,ANLY,Analytics,PTL,"Portland, Maine",110802,Data Modeling/Warehousing DBA,,APMI,Applied Machine Intelligence,202115,Fall 2020 CPS Quarter,Y,Y,Y,Current,Active
P-MPS-ANLY,MPS Analytics,PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MPS,Master of Professional Studies,ANLY,Analytics,PTL,"Portland, Maine",110802,Data Modeling/Warehousing DBA,,EBMG,Evidence Based Management,202115,Fall 2020 CPS Quarter,Y,Y,Y,Current,Active
P-MPS-ANLY,MPS Analytics,PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MPS,Master of Professional Studies,ANLY,Analytics,PTL,"Portland, Maine",110802,Data Modeling/Warehousing DBA,,NOCC,No Concentration,202115,Fall 2020 CPS Quarter,Y,Y,Y,Current,Active
P-MPS-ANLY,MPS Analytics,PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MPS,Master of Professional Studies,ANLY,Analytics,PTL,"Portland, Maine",110802,Data Modeling/Warehousing DBA,,STMO,Statistical Modeling,202115,Fall 2020 CPS Quarter,Y,Y,Y,Current,Active
P-MPS-ANLY,MPS Analytics,PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MPS,Master of Professional Studies,ANLY,Analytics,SEA,"Seattle, WA",110802,Data Modeling/Warehousing DBA,,APMI,Applied Machine Intelligence,202115,Fall 2020 CPS Quarter,Y,Y,Y,Current,Active
P-MPS-ANLY,MPS Analytics,PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MPS,Master of Professional Studies,ANLY,Analytics,SEA,"Seattle, WA",110802,Data Modeling/Warehousing DBA,,EBMG,Evidence Based Management,202115,Fall 2020 CPS Quarter,Y,Y,Y,Current,Active
P-MPS-ANLY,MPS Analytics,PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MPS,Master of Professional Studies,ANLY,Analytics,SEA,"Seattle, WA",110802,Data Modeling/Warehousing DBA,,NOCC,No Concentration,202115,Fall 2020 CPS Quarter,Y,Y,Y,Current,Active
P-MPS-ANLY,MPS Analytics,PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MPS,Master of Professional Studies,ANLY,Analytics,SEA,"Seattle, WA",110802,Data Modeling/Warehousing DBA,,STMO,Statistical Modeling,202115,Fall 2020 CPS Quarter,Y,Y,Y,Current,Active
P-MPS-ANLY,MPS Analytics,PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MPS,Master of Professional Studies,ANLY,Analytics,SFR,"San Francisco, CA",110802,Data Modeling/Warehousing DBA,,APMI,Applied Machine Intelligence,202115,Fall 2020 CPS Quarter,Y,Y,Y,Current,Active
P-MPS-ANLY,MPS Analytics,PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MPS,Master of Professional Studies,ANLY,Analytics,SFR,"San Francisco, CA",110802,Data Modeling/Warehousing DBA,,EBMG,Evidence Based Management,202115,Fall 2020 CPS Quarter,Y,Y,Y,Current,Active
P-MPS-ANLY,MPS Analytics,PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MPS,Master of Professional Studies,ANLY,Analytics,SFR,"San Francisco, CA",110802,Data Modeling/Warehousing DBA,,NOCC,No Concentration,202115,Fall 2020 CPS Quarter,Y,Y,Y,Current,Active
P-MPS-ANLY,MPS Analytics,PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MPS,Master of Professional Studies,ANLY,Analytics,SFR,"San Francisco, CA",110802,Data Modeling/Warehousing DBA,,STMO,Statistical Modeling,202115,Fall 2020 CPS Quarter,Y,Y,Y,Current,Active
P-MPS-ANLY,MPS Analytics,PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MPS,Master of Professional Studies,ANLY,Analytics,SJO,"Silicon Valley, CA",110802,Data Modeling/Warehousing DBA,,APMI,Applied Machine Intelligence,202115,Fall 2020 CPS Quarter,Y,Y,Y,Current,Active
P-MPS-ANLY,MPS Analytics,PS,Coll of Professional Studies,GP,CPS - Graduate,CPS,Col of Professional Studies,MPS,Master of Professional Studies,ANLY,Analytics,SJO,"Silicon Valley, CA",110802,Data Modeling/Warehousing DBA,,EBMG,Evidence Based Management,202115,Fall 2020 CPS Quarter,Y,Y,Y,Current,Active
